# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,P80,0,CSYKEIZMSY,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 3.022540983606556986e-01, 0.000000000000000000e+00, 4.610655737704866253e-02, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,36,17
# x,y,z,u,w
3.022540983606556986e-01, 3.890696564885496450e-02, 4.610655737704866253e-02, 0.000000000000000000e+00, 0.000000000000000000e+00
3.022540983606556986e-01, 3.584744054890111331e-02, 3.096827914637584334e-02, 0.000000000000000000e+00, 2.500000000000000000e-01
3.022540983606556986e-01, 2.750598491157346670e-02, 1.860057246547519583e-02, 0.000000000000000000e+00, 5.000000000000000000e-01
3.022540983606556986e-01, 1.513827823067281746e-02, 1.025911682814753881e-02, 0.000000000000000000e+00, 7.500000000000000000e-01
3.022540983606556986e-01, 0.000000000000000000e+00, 7.199591728193698026e-03, 0.000000000000000000e+00, 1.000000000000000000e+00
3.022540983606556986e-01, -1.513827823067282266e-02, 1.025911682814753881e-02, 0.000000000000000000e+00, 1.250000000000000000e+00
3.022540983606556986e-01, -2.750598491157347017e-02, 1.860057246547519583e-02, 0.000000000000000000e+00, 1.500000000000000000e+00
3.022540983606556986e-01, -3.584744054890112719e-02, 3.096827914637584334e-02, 0.000000000000000000e+00, 1.750000000000000000e+00
3.022540983606556986e-01, -3.890696564885496450e-02, 4.610655737704866253e-02, 0.000000000000000000e+00, 2.000000000000000000e+00
3.022540983606556986e-01, -3.584744054890111331e-02, 6.124483560772148172e-02, 0.000000000000000000e+00, 2.250000000000000000e+00
3.022540983606556986e-01, -2.750598491157346670e-02, 7.361254228862212923e-02, 0.000000000000000000e+00, 2.500000000000000000e+00
3.022540983606556986e-01, -1.513827823067282093e-02, 8.195399792594978972e-02, 0.000000000000000000e+00, 2.750000000000000000e+00
3.022540983606556986e-01, 0.000000000000000000e+00, 8.501352302590362009e-02, 0.000000000000000000e+00, 3.000000000000000000e+00
3.022540983606556986e-01, 1.513827823067281919e-02, 8.195399792594978972e-02, 0.000000000000000000e+00, 3.250000000000000000e+00
3.022540983606556986e-01, 2.750598491157345629e-02, 7.361254228862212923e-02, 0.000000000000000000e+00, 3.500000000000000000e+00
3.022540983606556986e-01, 3.584744054890111331e-02, 6.124483560772148172e-02, 0.000000000000000000e+00, 3.750000000000000000e+00
3.022540983606556986e-01, 3.890696564885496450e-02, 4.610655737704866253e-02, 0.000000000000000000e+00, 4.000000000000000000e+00
3.031939421707957605e-01, 4.381937124397210920e-02, 4.610655737704866947e-02, 2.000000000000000111e-01, 0.000000000000000000e+00
3.031939421707957605e-01, 4.037802714686709871e-02, 2.907802116260125094e-02, 2.000000000000000111e-01, 2.500000000000000000e-01
3.031939421707957605e-01, 3.097932654078771816e-02, 1.512723083626094783e-02, 2.000000000000000111e-01, 5.000000000000000000e-01
3.031939421707957605e-01, 1.702853621444741852e-02, 5.728530230181559484e-03, 2.000000000000000111e-01, 7.500000000000000000e-01
3.031939421707957605e-01, -3.330669073875470654e-19, 2.287186133076566340e-03, 2.000000000000000111e-01, 1.000000000000000000e+00
3.031939421707957605e-01, -1.702853621444741852e-02, 5.728530230181559484e-03, 2.000000000000000111e-01, 1.250000000000000000e+00
3.031939421707957605e-01, -3.097932654078771816e-02, 1.512723083626094783e-02, 2.000000000000000111e-01, 1.500000000000000000e+00
3.031939421707957605e-01, -4.037802714686711258e-02, 2.907802116260125094e-02, 2.000000000000000111e-01, 1.750000000000000000e+00
3.031939421707957605e-01, -4.381937124397210920e-02, 4.610655737704866947e-02, 2.000000000000000111e-01, 2.000000000000000000e+00
3.031939421707957605e-01, -4.037802714686710565e-02, 6.313509359149609146e-02, 2.000000000000000111e-01, 2.250000000000000000e+00
3.031939421707957605e-01, -3.097932654078772510e-02, 7.708588391783638416e-02, 2.000000000000000111e-01, 2.500000000000000000e+00
3.031939421707957605e-01, -1.702853621444742199e-02, 8.648458452391578899e-02, 2.000000000000000111e-01, 2.750000000000000000e+00
3.031939421707957605e-01, -3.212741077958348372e-18, 8.992592862102076479e-02, 2.000000000000000111e-01, 3.000000000000000000e+00
3.031939421707957605e-01, 1.702853621444741505e-02, 8.648458452391578899e-02, 2.000000000000000111e-01, 3.250000000000000000e+00
3.031939421707957605e-01, 3.097932654078771122e-02, 7.708588391783638416e-02, 2.000000000000000111e-01, 3.500000000000000000e+00
3.031939421707957605e-01, 4.037802714686709871e-02, 6.313509359149607758e-02, 2.000000000000000111e-01, 3.750000000000000000e+00
3.031939421707957605e-01, 4.381937124397210920e-02, 4.610655737704866947e-02, 2.000000000000000111e-01, 4.000000000000000000e+00
3.057315245279176308e-01, 4.856778501588082664e-02, 4.610655737704866253e-02, 4.000000000000000222e-01, 0.000000000000000000e+00
3.057315245279176308e-01, 4.475359984323692281e-02, 2.723310309699003562e-02, 4.000000000000000222e-01, 2.500000000000000000e-01
3.057315245279176308e-01, 3.433635719186195479e-02, 1.177020018518670774e-02, 4.000000000000000222e-01, 5.000000000000000000e-01
3.057315245279176308e-01, 1.887345428005862691e-02, 1.352957533811740588e-03, 4.000000000000000222e-01, 7.500000000000000000e-01
3.057315245279176308e-01, -3.747002708109902800e-19, -2.461227638832159774e-03, 4.000000000000000222e-01, 1.000000000000000000e+00
3.057315245279176308e-01, -1.887345428005862691e-02, 1.352957533811740588e-03, 4.000000000000000222e-01, 1.250000000000000000e+00
3.057315245279176308e-01, -3.433635719186194785e-02, 1.177020018518670774e-02, 4.000000000000000222e-01, 1.500000000000000000e+00
3.057315245279176308e-01, -4.475359984323692281e-02, 2.723310309699003562e-02, 4.000000000000000222e-01, 1.750000000000000000e+00
3.057315245279176308e-01, -4.856778501588082664e-02, 4.610655737704866253e-02, 4.000000000000000222e-01, 2.000000000000000000e+00
3.057315245279176308e-01, -4.475359984323692281e-02, 6.498001165710728944e-02, 4.000000000000000222e-01, 2.250000000000000000e+00
3.057315245279176308e-01, -3.433635719186195479e-02, 8.044291456891061731e-02, 4.000000000000000222e-01, 2.500000000000000000e+00
3.057315245279176308e-01, -1.887345428005863385e-02, 9.086015722028559227e-02, 4.000000000000000222e-01, 2.750000000000000000e+00
3.057315245279176308e-01, -3.614333712703141148e-18, 9.467434239292947529e-02, 4.000000000000000222e-01, 3.000000000000000000e+00
3.057315245279176308e-01, 1.887345428005861997e-02, 9.086015722028559227e-02, 4.000000000000000222e-01, 3.250000000000000000e+00
3.057315245279176308e-01, 3.433635719186194785e-02, 8.044291456891061731e-02, 4.000000000000000222e-01, 3.500000000000000000e+00
3.057315245279176308e-01, 4.475359984323691587e-02, 6.498001165710727556e-02, 4.000000000000000222e-01, 3.750000000000000000e+00
3.057315245279176308e-01, 4.856778501588082664e-02, 4.610655737704866253e-02, 4.000000000000000222e-01, 4.000000000000000000e+00
3.094439218220749743e-01, 5.261929942534548932e-02, 4.610655737704866253e-02, 5.999999999999999778e-01, 0.000000000000000000e+00
3.094439218220749743e-01, 4.848483642003824368e-02, 2.564878814341957705e-02, 5.999999999999999778e-01, 2.500000000000000000e-01
3.094439218220749743e-01, 3.720048849531734647e-02, 8.906068881731317791e-03, 5.999999999999999778e-01, 5.000000000000000000e-01
3.094439218220749743e-01, 2.045776923362908201e-02, -2.378279042989582884e-03, 5.999999999999999778e-01, 7.500000000000000000e-01
3.094439218220749743e-01, -2.498001805406602509e-19, -6.512742048296821587e-03, 5.999999999999999778e-01, 1.000000000000000000e+00
3.094439218220749743e-01, -2.045776923362908895e-02, -2.378279042989582884e-03, 5.999999999999999778e-01, 1.250000000000000000e+00
3.094439218220749743e-01, -3.720048849531734647e-02, 8.906068881731317791e-03, 5.999999999999999778e-01, 1.500000000000000000e+00
3.094439218220749743e-01, -4.848483642003825062e-02, 2.564878814341957358e-02, 5.999999999999999778e-01, 1.750000000000000000e+00
3.094439218220749743e-01, -5.261929942534548932e-02, 4.610655737704866253e-02, 5.999999999999999778e-01, 2.000000000000000000e+00
3.094439218220749743e-01, -4.848483642003824368e-02, 6.656432661067775147e-02, 5.999999999999999778e-01, 2.250000000000000000e+00
3.094439218220749743e-01, -3.720048849531734647e-02, 8.330704587236600900e-02, 5.999999999999999778e-01, 2.500000000000000000e+00
3.094439218220749743e-01, -2.045776923362909241e-02, 9.459139379708689233e-02, 5.999999999999999778e-01, 2.750000000000000000e+00
3.094439218220749743e-01, -2.409555808468761279e-18, 9.872585680239413797e-02, 5.999999999999999778e-01, 3.000000000000000000e+00
3.094439218220749743e-01, 2.045776923362908201e-02, 9.459139379708689233e-02, 5.999999999999999778e-01, 3.250000000000000000e+00
3.094439218220749743e-01, 3.720048849531734647e-02, 8.330704587236600900e-02, 5.999999999999999778e-01, 3.500000000000000000e+00
3.094439218220749743e-01, 4.848483642003824368e-02, 6.656432661067773759e-02, 5.999999999999999778e-01, 3.750000000000000000e+00
3.094439218220749743e-01, 5.261929942534548932e-02, 4.610655737704866253e-02, 5.999999999999999778e-01, 4.000000000000000000e+00
