# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
7

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,WGMILYVNHM,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,16,33
# x,y,z,u,w
1.300000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.275046600141913444e+01, 0.000000000000000000e+00, -4.333074501639805343e-02, 1.000000000000000000e+00, 4.173311976788848798e-02
1.239163561704702232e+01, 0.000000000000000000e+00, -1.041477973136841206e-01, 1.000000000000000000e+00, 9.595583006934514658e-02
1.188620780198687399e+01, 0.000000000000000000e+00, -1.869321322162215693e-01, 1.000000000000000000e+00, 1.722603643809275942e-01
1.119468695233514843e+01, 0.000000000000000000e+00, -2.949436359189764878e-01, 1.000000000000000000e+00, 2.765358755368439447e-01
1.028528006579530185e+01, 0.000000000000000000e+00, -4.279798580812315678e-01, 1.000000000000000000e+00, 4.134663504172014781e-01
9.149631603060957019e+00, 0.000000000000000000e+00, -5.795000176031444017e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
7.819537776258163042e+00, 0.000000000000000000e+00, -7.341763719849034864e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
6.373702587269859166e+00, 0.000000000000000000e+00, -8.681549856992150094e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
4.924280223835305392e+00, 0.000000000000000000e+00, -9.544245066620946627e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
3.585479767199984735e+00, 0.000000000000000000e+00, -9.730669808322995884e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
2.441215286222777170e+00, 0.000000000000000000e+00, -9.197753252119277301e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
1.529592312038071222e+00, 0.000000000000000000e+00, -8.051794666053024851e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
8.485082457400690004e-01, 0.000000000000000000e+00, -6.458369166903588088e-01, 1.000000000000000000e+00, 1.827739635619072267e+00
3.745386452787897169e-01, 0.000000000000000000e+00, -4.539176604918087055e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
8.909672391019626825e-02, 0.000000000000000000e+00, -2.318046230619952297e-01, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
8.909672391019410331e-02, 0.000000000000000000e+00, 2.318046230619925097e-01, 1.000000000000000000e+00, 2.041733119767888294e+00
3.745386452787867748e-01, 0.000000000000000000e+00, 4.539176604918070956e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
8.485082457400681122e-01, 0.000000000000000000e+00, 6.458369166903586978e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
1.529592312038071000e+00, 0.000000000000000000e+00, 8.051794666053022631e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
2.441215286222774949e+00, 0.000000000000000000e+00, 9.197753252119273970e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
3.585479767199980294e+00, 0.000000000000000000e+00, 9.730669808322993664e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
4.924280223835302728e+00, 0.000000000000000000e+00, 9.544245066620947737e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
6.373702587269862718e+00, 0.000000000000000000e+00, 8.681549856992143432e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
7.819537776258165707e+00, 0.000000000000000000e+00, 7.341763719849030423e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
9.149631603060964125e+00, 0.000000000000000000e+00, 5.795000176031435135e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
