# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
7

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,MainWing,0,WGMILYVNHM,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -1.152663934426237102e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,33,101
# x,y,z,u,w
2.403336065573762614e-01, 0.000000000000000000e+00, -9.140521287918089658e-08, 1.000000000000000000e+00, 0.000000000000000000e+00
2.384290135740145811e-01, 0.000000000000000000e+00, -2.171618271908640403e-04, 1.000000000000000000e+00, 1.458501552360381461e-02
2.362824043336195223e-01, 0.000000000000000000e+00, -4.618279560993770192e-04, 1.000000000000000000e+00, 2.651507478183004127e-02
2.338665353949203884e-01, 0.000000000000000000e+00, -7.371985459997650383e-04, 1.000000000000000000e+00, 3.994158898584670991e-02
2.311520700682972718e-01, 0.000000000000000000e+00, -1.046621362372339350e-03, 1.000000000000000000e+00, 5.502760311321876208e-02
2.281076948205584820e-01, 0.000000000000000000e+00, -1.393669717124455896e-03, 1.000000000000000000e+00, 7.194714884979341862e-02
2.247003329460897647e-01, 0.000000000000000000e+00, -1.782117751781288643e-03, 1.000000000000000000e+00, 9.088405685754742669e-02
2.208954780802930840e-01, 0.000000000000000000e+00, -2.215901827161604123e-03, 1.000000000000000000e+00, 1.120301028569350849e-01
2.166576711280714940e-01, 0.000000000000000000e+00, -2.699065249384421591e-03, 1.000000000000000000e+00, 1.355823564629391187e-01
2.119511435833080770e-01, 0.000000000000000000e+00, -3.235683618215572967e-03, 1.000000000000000000e+00, 1.617396050234487237e-01
