WARNING: 1 open meshes merged
     Merged: MainWing
...Mass Properties...
6 Num Comps
6 Total Num Meshes
31136 Total Num Tris

3.365633106656662e+00             Total Mass
3.271480655964600e-02 4.776949227555984e-05 4.135801716754339e-02       Center of Gravity
2.245055817200554e-02 6.165976095458440e-01 6.216414464473056e-01       Ixx, Iyy, Izz
-3.038197090878564e-05 3.656540511231818e-03 -1.402341195232184e-06       Ixy, Ixz, Iyz
4.023992765152554e-02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
MainWing	1.431665338676456e-02	6.979631603865112e-02	1.120398263321448e-02	1.297891269066384e-02	4.343537870941797e-03	1.085943891714366e-04	4.442066492267561e-03	-3.656835229140786e-05	4.108810235272845e-06	3.031051232342945e-06	1.431665338676456e-02
Fusealge	3.349306721113846e+00	3.218778258823315e-02	-4.554439953480805e-18	4.141869453610826e-02	1.802469546918957e-02	6.156561449219590e-01	6.163775037619301e-01	-1.617832929255714e-19	3.539571571036931e-03	-9.059282068680759e-21	2.391354210870764e-02
VTail	6.842583152791558e-04	6.514493229586721e-01	1.025186219219063e-01	1.884947454716519e-01	3.809043789563509e-06	5.732630572671862e-06	3.910286215532664e-06	7.100806558786523e-07	1.244420456015632e-06	1.609005487854977e-06	6.842583152791558e-04
VTail	6.836082319977618e-04	6.509648406770052e-01	-1.021312209127823e-01	1.878544989036043e-01	3.774241584258740e-06	5.694811160070110e-06	3.896365616738221e-06	-7.067063020164039e-07	1.229679214221256e-06	-1.598031143947915e-06	6.836082319977618e-04
Elevator	3.205550483749170e-04	6.375892918385173e-01	1.541723602008376e-01	4.483068786931615e-02	1.196941684547269e-06	8.359524592269025e-07	2.011055524627349e-06	2.920368502464330e-07	-2.981511178485911e-09	8.919515140350414e-09	3.205550483749170e-04
Elevator	3.213105604006616e-04	6.376472765349044e-01	-1.536866877390906e-01	4.486792684389092e-02	1.189284866237405e-06	8.375977161458057e-07	2.004187697860061e-06	-3.170293766906871e-07	-2.748251012388348e-09	7.051009963964404e-09	3.213105604006616e-04
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	3.365633106656662e+00	3.271480655964600e-02	4.776949227555984e-05	4.135801716754339e-02	2.245055817200554e-02	6.165976095458440e-01	6.216414464473056e-01	-3.038197090878564e-05	3.656540511231818e-03	-1.402341195232184e-06	4.023992765152554e-02

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
20 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
-7.819930406501038e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.096996827256482e-04
-7.019791219503114e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.606404356757602e-04
-6.219652032505192e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.050846324794884e-03
-5.419512845507268e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.911890430179281e-03
-4.619373658509345e-01	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	3.066263377027392e-03
